期,決算年月,売上高,経常利益,当期純利益,純資産,総資産,自己資本比率,ROE,EPS
第18期,2021/6,1124067,59503,58214,1260129,1623170,72.3,5.1,9.87
第19期,2022/6,1223281,253078,267785,1486577,2068728,68.1,20.8,45.39
第20期,2023/6,1299225,232611,285758,1772328,2291058,74.1,18.4,48.39
第21期,2024/6,1345671,241441,243248,1946713,2603401,72.7,13.5,41.14
第22期,2025/6,1455004,240996,256420,1908597,2374607,79.6,13.6,43.67
